case	original_dsl	project	source_url	source_bug_id	original_bug_path	translation_notes
vuln_binary_merkle_selector	Circom	ZK-Kit BinaryMerkleRoot	https://pse.dev/blog/under-constrained-bug-in-binary-merkle-root-circuit-fixed-in-v200	BinaryMerkleRoot selector booleanity	blog	Preserves MultiMux-style non-boolean path selector with lightweight node_hash.
vuln_maci_state_index_bypass	Circom	MACI 1.0	https://github.com/0xPARC/zk-bug-tracker	MACI 1.0 under-constrained circuit	zk-bug-tracker#10	Preserves invalid-message guard that skips state index binding.
vuln_aztec_nullifier_index_alias	Custom/Aztec	Aztec 2.0	https://github.com/0xPARC/zk-bug-tracker	Aztec 2.0 missing bit length check	zk-bug-tracker#6	Preserves truncated membership index vs wider nullifier index.
vuln_bigint_remainder_overflow	Circom	circom-bigint	https://github.com/zksecurity/zkbugs/tree/main/dataset/circom/0xbok/circom-bigint/veridise_missing_range_checks_in_bigmod	veridise_missing_range_checks_in_bigmod	circom/0xbok/circom-bigint/veridise_missing_range_checks_in_bigmod	Preserves BigMod equation without remainder limb bounds.
vuln_evm_div_mod_remainder	zkEVM DSL	zkEVM arithmetic	https://github.com/0xPARC/zk-bug-tracker	zkEVM div/mod missing remainder bound	zk-bug-tracker	Preserves A*B+C equation without C<A.
vuln_polygon_smt_rkey_bit	PIL/zkASM	Polygon zkEVM prover	https://github.com/0xPARC/zk-bug-tracker	Polygon zkEVM fake SMT inclusion	zk-bug-tracker#21	Preserves missing boolean constraint on rkeyBit.
vuln_scroll_shift_byte_binding	Halo2	Scroll zkEVM	https://github.com/zksecurity/zkbugs	Scroll shift helper binding	BUGS.md	Preserves helper byte driving shift result without stack-byte binding.
vuln_circom_decoder_onehot	Circom	circomlib	https://veridise.com/wp-content/uploads/2024/11/VAR_EF_0xparc_Circom.pdf	V-CIRCOMLIB-VUL-001 Decoder accepting bogus output	circomlib/circuits/multiplexer.circom	Preserves Decoder one-hot sum without boolean output constraints.
vuln_mimc_assigned_not_constrained	Circom	circomlib	https://github.com/0xPARC/zk-bug-tracker	MiMC assigned but not constrained	zk-bug-tracker#14	Preserves computed hash checked separately from exposed claimed hash.
vuln_r1cs_inverse_result	Arkworks/R1CS	ark-r1cs-std	https://rustsec.org/advisories/RUSTSEC-2021-0075.html	RUSTSEC-2021-0075 mul_by_inverse	ark_r1cs_std::FieldVar::mul_by_inverse	Preserves checked inverse with unconstrained multiplication result.
vuln_montgomery_degenerate_point	Circom	circomlib	https://veridise.com/wp-content/uploads/2024/11/VAR_EF_0xparc_Circom.pdf	V-CIRCOMLIB-VUL-003 Montgomery2Edwards	circomlib/circuits/montgomery.circom	Preserves coordinate equations without exceptional denominator exclusions.
vuln_bits2point_free_output	Circom	circomlib	https://veridise.com/wp-content/uploads/2024/11/VAR_EF_0xparc_Circom.pdf	V-CIRCOMLIB-VUL-009 Bits2Point	circomlib/circuits/pointbits.circom	Preserves decoded x coordinate without curve/sign constraints.
vuln_halo2_rlp_byte_range	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs/tree/main/dataset/halo2/scroll-tech/zkevm-circuits/zellic_Missing_range_check_for_byte_values_in_RLP_Circuit	Missing range check for byte values in RLP Circuit	halo2/scroll-tech/zkevm-circuits/zellic_Missing_range_check_for_byte_values_in_RLP_Circuit	Preserves byte contribution to RLC without byte range check.
vuln_halo2_calldata_rlc_binding	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs/tree/main/dataset/halo2/scroll-tech/zkevm-circuits/zellic_The_CallDataRLC_value_in_the_fixed_assignments_is_not_validated_against_the_actual_calldata_in_Tx_Circuit	CallDataRLC fixed assignment not validated	halo2/scroll-tech/zkevm-circuits/zellic_The_CallDataRLC_value_in_the_fixed_assignments_is_not_validated_against_the_actual_calldata_in_Tx_Circuit	Preserves fixed calldata RLC separate from actual calldata RLC.
vuln_halo2_tx_first_row	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs/tree/main/dataset/halo2/scroll-tech/zkevm-circuits/zellic_Missing_constraint_for_the_first_tx_id_in_Tx_Circuit	Missing constraint for first tx id	halo2/scroll-tech/zkevm-circuits/zellic_Missing_constraint_for_the_first_tx_id_in_Tx_Circuit	Preserves transition relation without binding first row to expected tx id.
vuln_halo2_chainid_tag	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs/tree/main/dataset/halo2/scroll-tech/zkevm-circuits/zellic_ChainId_is_not_mapped_to_its_corresponding_RLP_Tag_in_Tx_Circuit	ChainId not mapped to RLP tag	halo2/scroll-tech/zkevm-circuits/zellic_ChainId_is_not_mapped_to_its_corresponding_RLP_Tag_in_Tx_Circuit	Preserves ChainId value check without RLP tag binding.
vuln_halo2_mod_gadget	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs/tree/main/dataset/halo2/scroll-tech/zkevm-circuits/trailofbits_ModGadget_is_underconstrained_and_allows_incorrect_MULMOD_operations_to_be_proven	ModGadget underconstrained	halo2/scroll-tech/zkevm-circuits/trailofbits_ModGadget_is_underconstrained_and_allows_incorrect_MULMOD_operations_to_be_proven	Preserves MULMOD equation without remainder bound.
vuln_halo2_call_warm_status	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs/tree/main/dataset/halo2/scroll-tech/zkevm-circuits/trailofbits_Underconstrained_warm_status_on_CALL_opcodes_allows_gas_cost_forgery	Underconstrained warm status on CALL	halo2/scroll-tech/zkevm-circuits/trailofbits_Underconstrained_warm_status_on_CALL_opcodes_allows_gas_cost_forgery	Preserves gas total without binding warm status to access cost branch.
vuln_halo2_rlp_u64_flag	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs/tree/main/dataset/halo2/scroll-tech/zkevm-circuits/trailofbits_The_RlpU64Gadget_is_underconstrained_when_is_lt_128_is_false	RlpU64Gadget underconstrained when is_lt_128 false	halo2/scroll-tech/zkevm-circuits/trailofbits_The_RlpU64Gadget_is_underconstrained_when_is_lt_128_is_false	Preserves multi-byte RLC branch with compensating bytes.
vuln_halo2_mpt_onehot	Halo2	Scroll mpt-circuit	https://github.com/zksecurity/zkbugs/tree/main/dataset/halo2/scroll-tech/mpt-circuit/trailofbits_The_OneHot_primitive_allows_more_than_one_value_at_once	OneHot primitive allows more than one value	halo2/scroll-tech/mpt-circuit/trailofbits_The_OneHot_primitive_allows_more_than_one_value_at_once	Preserves one-hot sum without booleanity.
vuln_circom_chacha_left_rotation	Circom	reclaimprotocol/circom-chacha20	https://github.com/zksecurity/zkbugs/tree/main/dataset/circom/reclaimprotocol/circom-chacha20/zksecurity_unsound_left_rotation	Unsound Left Rotation Gadget	circom/reclaimprotocol/circom-chacha20/zksecurity_unsound_left_rotation	Preserves unconstrained split limbs in RotateLeft32Bits.
vuln_circom_chacha_xor	Circom	reclaimprotocol/circom-chacha20	https://github.com/zksecurity/zkbugs/tree/main/dataset/circom/reclaimprotocol/circom-chacha20/zksecurity_Unsound_XOR_gadget	Unsound XOR gadget	circom/reclaimprotocol/circom-chacha20/zksecurity_Unsound_XOR_gadget	Preserves XOR formula with free and_hint.
vuln_circom_chacha_addition	Circom	reclaimprotocol/circom-chacha20	https://github.com/zksecurity/zkbugs/tree/main/dataset/circom/reclaimprotocol/circom-chacha20/zksecurity_Unsound_Addition_Gadget	Unsound Addition Gadget	circom/reclaimprotocol/circom-chacha20/zksecurity_Unsound_Addition_Gadget	Preserves limb plus carry equation without carry/range constraints.
vuln_circom_telepathy_arrayxor	Circom	succinctlabs/telepathy-circuits	https://github.com/zksecurity/zkbugs/tree/main/dataset/circom/succinctlabs/telepathy-circuits/veridise_arrayxor_is_under_constrained	ArrayXOR is under-constrained	circom/succinctlabs/telepathy-circuits/veridise_arrayxor_is_under_constrained	Preserves folded XOR limbs without booleanity.
vuln_circom_darkforest_rangeproof	Circom	darkforest-v0.3	https://github.com/zksecurity/zkbugs/tree/main/dataset/circom/darkforest-eth/darkforest-v0.3/daira_hopwood_darkforest_v0_3_missing_bit_length_check	Dark Forest missing bit length check	circom/darkforest-eth/darkforest-v0.3/daira_hopwood_darkforest_v0_3_missing_bit_length_check	Preserves LessThan assumed bit width via aliasable comparison word.
vuln_circom_self_packed_byte_range	Circom	self.xyz/self	https://github.com/zksecurity/zkbugs/tree/main/dataset/circom/selfxyz/self/zksecurity_missing_byte_range_checks_allows_packed_data_pollution	Missing byte range checks allows packed data pollution	circom/selfxyz/self/zksecurity_missing_byte_range_checks_allows_packed_data_pollution	Preserves packed byte decomposition without byte range checks.
vuln_circom_self_merkle_path_bits	Circom	self.xyz/self	https://github.com/zksecurity/zkbugs/tree/main/dataset/circom/selfxyz/self/zksecurity_missing_boolean_constraints_in_the_merkle_tree_path_leads_to_an_attacker_being_able_to_craft_a_fake_merkle_proof_for_an_arbitrary_leaf	Missing boolean constraints in Merkle path	circom/selfxyz/self/zksecurity_missing_boolean_constraints_in_the_merkle_tree_path_leads_to_an_attacker_being_able_to_craft_a_fake_merkle_proof_for_an_arbitrary_leaf	Preserves non-boolean path selector with lightweight Poseidon substitute.
vuln_circom_zkemail_sha256_zero	Circom	zk-email-verify	https://github.com/zksecurity/zkbugs/tree/main/dataset/circom/zkemail/zk-email-verify/zksecurity_sha256_templates_return_zero_on_arbitrary_inputs	SHA256 templates return zero on arbitrary inputs	circom/zkemail/zk-email-verify/zksecurity_sha256_templates_return_zero_on_arbitrary_inputs	Preserves digest output not bound to message computation.
vuln_cairo_power_of_two_check	Cairo	Herodotus offchain-evm-headers-processor	https://github.com/zksecurity/zkbugs/tree/main/dataset/cairo/HerodotusDev/offchain-evm-headers-processor/abdk_Function_doesnt_ensure_that_y_is_a_power_of_two	Function does not ensure y is a power of two	cairo/HerodotusDev/offchain-evm-headers-processor/abdk_Function_doesnt_ensure_that_y_is_a_power_of_two	Preserves divisibility check without power-of-two proof.
vuln_cairo_position_range	Cairo	Herodotus offchain-evm-headers-processor	https://github.com/zksecurity/zkbugs/tree/main/dataset/cairo/HerodotusDev/offchain-evm-headers-processor/abdk_Behaviour_is_undefined_if_position_is_not_range_checked	Position is not range checked	cairo/HerodotusDev/offchain-evm-headers-processor/abdk_Behaviour_is_undefined_if_position_is_not_range_checked	Preserves position-controlled extraction word without position range.
vuln_cairo_negative_range	Cairo	Herodotus offchain-evm-headers-processor	https://github.com/zksecurity/zkbugs/tree/main/dataset/cairo/HerodotusDev/offchain-evm-headers-processor/abdk_Missing_range_checks_for_negative_values	Missing range checks for negative values	cairo/HerodotusDev/offchain-evm-headers-processor/abdk_Missing_range_checks_for_negative_values	Preserves signed delta alias without signed range.
vuln_arkworks_penumbra_fixed_point_cmp	Arkworks	penumbra-zone/penumbra	https://github.com/zksecurity/zkbugs/tree/main/dataset/arkworks/penumbra-zone/penumbra/nccgroup_Invalid_Comparisons_on_Fixed_Point_Values_are_Accepted_by_the_Circuit_Verifier	Invalid fixed-point comparisons accepted	arkworks/penumbra-zone/penumbra/nccgroup_Invalid_Comparisons_on_Fixed_Point_Values_are_Accepted_by_the_Circuit_Verifier	Preserves comparison borrow/diff without range constraints.
vuln_arkworks_penumbra_fixed_point_add	Arkworks	penumbra-zone/penumbra	https://github.com/zksecurity/zkbugs/tree/main/dataset/arkworks/penumbra-zone/penumbra/zksecurity_Unsound_fixed_point_addition	Unsound fixed-point addition	arkworks/penumbra-zone/penumbra/zksecurity_Unsound_fixed_point_addition	Preserves fixed-point limb plus carry without bounds.
vuln_bellperson_lurk_reduce_sym	Bellperson	lurk-lab/lurk-rs	https://github.com/zksecurity/zkbugs/tree/main/dataset/bellperson/lurk-lab/lurk-rs/inference_Under_constrained_outputs_in_reduce_sym	Under constrained outputs in reduce_sym	bellperson/lurk-lab/lurk-rs/inference_Under_constrained_outputs_in_reduce_sym	Preserves reduce_sym output not bound to symbol/environment relation.
vuln_bellperson_neptune_zero_padding	Bellperson	lurk-lab/neptune	https://github.com/zksecurity/zkbugs/tree/main/dataset/bellperson/lurk-lab/neptune/inference_Zero_padding_not_enforced	Zero padding not enforced	bellperson/lurk-lab/neptune/inference_Zero_padding_not_enforced	Preserves sponge digest with free padding word.
vuln_pil_polygon_flow_hijack	PIL	Polygon zkEVM proverjs	https://github.com/zksecurity/zkbugs/tree/main/dataset/pil/0xPolygonHermez/zkevm-proverjs/hexens_Missing_constraint_in_PIL_leading_to_execution_flow_hijack	Missing constraint in PIL leading to execution flow hijack	pil/0xPolygonHermez/zkevm-proverjs/hexens_Missing_constraint_in_PIL_leading_to_execution_flow_hijack	Preserves next-PC mux without decoded branch selector constraint.
vuln_gnark_nonunique_bits	Gnark	Consensys/gnark	https://github.com/zksecurity/zkbugs/tree/main/dataset/gnark/Consensys/gnark/Unsoundness_in_variable_comparison__non_unique_binary_decomposition	Non-unique binary decomposition	gnark/Consensys/gnark/Unsoundness_in_variable_comparison__non_unique_binary_decomposition	Preserves decomposition equality without boolean bit constraints.
vuln_plonky3_sp1_babybear_range	Plonky3	succinctlabs/sp1	https://github.com/zksecurity/zkbugs/tree/main/dataset/plonky3/succinctlabs/sp1/ghsa_insufficient_range_checks_babybear_arithmetic	Insufficient range checks in BabyBear arithmetic	plonky3/succinctlabs/sp1/ghsa_insufficient_range_checks_babybear_arithmetic	Preserves raw limb/reduced value relation without range checks.
vuln_risc0_underconstrained_division	Risc0	risc0	https://github.com/zksecurity/zkbugs/tree/main/dataset/risc0/risc0/risc0/ghsa_underconstrained_division	Underconstrained division	risc0/risc0/risc0/ghsa_underconstrained_division	Preserves quotient equation without remainder bound.
vuln_risc0_underconstrained_3reg	Risc0	risc0	https://github.com/zksecurity/zkbugs/tree/main/dataset/risc0/risc0/risc0/ghsa_zkvm_underconstrained_3reg_instructions	Underconstrained 3reg instructions	risc0/risc0/risc0/ghsa_zkvm_underconstrained_3reg_instructions	Preserves opcode gating without destination register ALU constraint.
