case	variant	artifact	fixed	targets	expected	tier	source_family	original_dsl	project	source_url	source_bug_id	translation_notes
medium_merkle_airdrop_nullifier	vulnerable	corpus/realistic_artifacts/medium_merkle_airdrop_nullifier_vulnerable	public	returns	unsafe	medium	Merkle airdrop nullifier binding	Circom/Aztec/MACI	Private airdrop circuits	https://github.com/zksecurity/zkbugs	Nullifier and Merkle binding bugs	Vulnerable variant models a nullable epoch guard that can disable nullifier equality after a long commitment/root chain.
medium_merkle_airdrop_nullifier	fixed	corpus/realistic_artifacts/medium_merkle_airdrop_nullifier_fixed	public	returns	verified	medium	Merkle airdrop nullifier binding	Circom/Aztec/MACI	Private airdrop circuits	https://github.com/zksecurity/zkbugs	Nullifier and Merkle binding bugs	Fixed variant directly binds claimed nullifier to the long chain output.
medium_rlp_tx_calldata	vulnerable	corpus/realistic_artifacts/medium_rlp_tx_calldata_vulnerable	public	returns	unsafe	medium	RLP transaction calldata binding	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs	RLP/CallDataRLC binding bugs	Vulnerable variant models a guard/predicate bypass: calldata equality is only enforced when the private guard is non-zero.
medium_rlp_tx_calldata	fixed	corpus/realistic_artifacts/medium_rlp_tx_calldata_fixed	public	returns	verified	medium	RLP transaction calldata binding	Halo2	Scroll zkevm-circuits	https://github.com/zksecurity/zkbugs	RLP/CallDataRLC binding bugs	Fixed variant directly binds the claimed calldata accumulator to the public anchor.
medium_bigint_modmul	vulnerable	corpus/realistic_artifacts/medium_bigint_modmul_vulnerable	public	returns	unsafe	medium	Big integer modular multiplication	Circom	circom-bigint	https://github.com/zksecurity/zkbugs	BigMod missing range checks	Vulnerable variant uses a quotient/remainder equation without a range bound tying the returned remainder to the reduced limb output.
medium_bigint_modmul	fixed	corpus/realistic_artifacts/medium_bigint_modmul_fixed	public	returns	verified	medium	Big integer modular multiplication	Circom	circom-bigint	https://github.com/zksecurity/zkbugs	BigMod missing range checks	Fixed variant directly binds the remainder target to the public reduction anchor.
medium_chacha_quarter_round	vulnerable	corpus/realistic_artifacts/medium_chacha_quarter_round_vulnerable	public	returns	unsafe	medium	ChaCha quarter-round arithmetic	Circom	reclaimprotocol/circom-chacha20	https://github.com/zksecurity/zkbugs	ChaCha XOR/add/rotation bugs	Vulnerable variant preserves a long add/xor/rotate chain and exposes a high-carry alias for the claimed round word.
medium_chacha_quarter_round	fixed	corpus/realistic_artifacts/medium_chacha_quarter_round_fixed	public	returns	verified	medium	ChaCha quarter-round arithmetic	Circom	reclaimprotocol/circom-chacha20	https://github.com/zksecurity/zkbugs	ChaCha XOR/add/rotation bugs	Fixed variant directly binds the claimed round output to the public anchor.
medium_fixed_point_order	vulnerable	corpus/realistic_artifacts/medium_fixed_point_order_vulnerable	public	returns	unsafe	medium	Fixed-point order update	Arkworks	penumbra-zone/penumbra	https://github.com/zksecurity/zkbugs	Fixed-point comparison/addition bugs	Vulnerable variant models a settlement-delta conservation equation that can absorb the returned fixed-point order state.
medium_fixed_point_order	fixed	corpus/realistic_artifacts/medium_fixed_point_order_fixed	public	returns	verified	medium	Fixed-point order update	Arkworks	penumbra-zone/penumbra	https://github.com/zksecurity/zkbugs	Fixed-point comparison/addition bugs	Fixed variant directly binds the order result alias to the public anchor.
medium_mpt_account_update	vulnerable	corpus/realistic_artifacts/medium_mpt_account_update_vulnerable	public	returns	unsafe	medium	MPT account state update	Halo2	Scroll mpt-circuit	https://github.com/zksecurity/zkbugs	MPT OneHot/state update bugs	Vulnerable variant models missing one-hot selector booleanity between old and updated account roots.
medium_mpt_account_update	fixed	corpus/realistic_artifacts/medium_mpt_account_update_fixed	public	returns	verified	medium	MPT account state update	Halo2	Scroll mpt-circuit	https://github.com/zksecurity/zkbugs	MPT OneHot/state update bugs	Fixed variant directly binds claimed account root to the public anchor.
medium_zkemail_header_pack	vulnerable	corpus/realistic_artifacts/medium_zkemail_header_pack_vulnerable	public	returns	unsafe	medium	ZKEmail header packing	Circom	zk-email-verify	https://github.com/zksecurity/zkbugs	SHA256/packing bugs	Vulnerable variant models packed-byte/high-limb aliasing around a long pack/digest chain.
medium_zkemail_header_pack	fixed	corpus/realistic_artifacts/medium_zkemail_header_pack_fixed	public	returns	verified	medium	ZKEmail header packing	Circom	zk-email-verify	https://github.com/zksecurity/zkbugs	SHA256/packing bugs	Fixed variant directly binds claimed digest to the public chain anchor.
medium_vm_alu_trace	vulnerable	corpus/realistic_artifacts/medium_vm_alu_trace_vulnerable	public	returns	unsafe	medium	VM ALU trace transition	Risc0/Plonky3	Risc0/SP1	https://github.com/zksecurity/zkbugs	Underconstrained VM trace bugs	Vulnerable variant models a disabled trace equality guard over a long ALU/state trace.
medium_vm_alu_trace	fixed	corpus/realistic_artifacts/medium_vm_alu_trace_fixed	public	returns	verified	medium	VM ALU trace transition	Risc0/Plonky3	Risc0/SP1	https://github.com/zksecurity/zkbugs	Underconstrained VM trace bugs	Fixed variant directly binds final register alias to the public trace anchor.
large_private_rollup_batch	vulnerable	corpus/realistic_artifacts/large_private_rollup_batch_vulnerable	public	returns	unsafe	large	Private rollup batch	Circom/Aztec/MACI	Private rollup batch	https://github.com/zksecurity/zkbugs	Batch nullifier/root bugs	Vulnerable variant uses three 128-step chains plus an underconstrained minted-delta conservation equation.
large_private_rollup_batch	fixed	corpus/realistic_artifacts/large_private_rollup_batch_fixed	public	returns	verified	large	Private rollup batch	Circom/Aztec/MACI	Private rollup batch	https://github.com/zksecurity/zkbugs	Batch nullifier/root bugs	Fixed variant directly binds claimed batch nullifier to the public batch anchor.
large_zkevm_transaction	vulnerable	corpus/realistic_artifacts/large_zkevm_transaction_vulnerable	public	returns	unsafe	large	zkEVM transaction	Halo2/PIL	zkEVM transaction circuits	https://github.com/zksecurity/zkbugs	RLP calldata gas/mod bugs	Vulnerable variant uses long RLP/calldata/gas chains with a quotient/remainder-style tx accumulator alias.
large_zkevm_transaction	fixed	corpus/realistic_artifacts/large_zkevm_transaction_fixed	public	returns	verified	large	zkEVM transaction	Halo2/PIL	zkEVM transaction circuits	https://github.com/zksecurity/zkbugs	RLP calldata gas/mod bugs	Fixed variant directly binds claimed tx accumulator to the public tx anchor.
large_passport_disclosure	vulnerable	corpus/realistic_artifacts/large_passport_disclosure_vulnerable	public	returns	unsafe	large	Passport disclosure	Circom	self.xyz/passport circuits	https://github.com/zksecurity/zkbugs	Packed byte and Merkle path bugs	Vulnerable variant uses long document/country/Merkle chains with a disabled forbidden-country equality guard.
large_passport_disclosure	fixed	corpus/realistic_artifacts/large_passport_disclosure_fixed	public	returns	verified	large	Passport disclosure	Circom	self.xyz/passport circuits	https://github.com/zksecurity/zkbugs	Packed byte and Merkle path bugs	Fixed variant directly binds disclosure output to the public disclosure anchor.
large_vm_execution_trace	vulnerable	corpus/realistic_artifacts/large_vm_execution_trace_vulnerable	public	returns	unsafe	large	VM execution trace	Risc0/Plonky3	Risc0/SP1/OpenVM	https://github.com/zksecurity/zkbugs	VM execution trace bugs	Vulnerable variant uses long ALU/memory/final chains with a missing final-PC delta constraint.
large_vm_execution_trace	fixed	corpus/realistic_artifacts/large_vm_execution_trace_fixed	public	returns	verified	large	VM execution trace	Risc0/Plonky3	Risc0/SP1/OpenVM	https://github.com/zksecurity/zkbugs	VM execution trace bugs	Fixed variant directly binds final state alias to the public trace anchor.
medium_selector_onehot_transfer	vulnerable	corpus/realistic_artifacts/medium_selector_onehot_transfer_vulnerable	public	returns	unsafe	medium	Selector one-hot transfer	Circom/Halo2	Merkle multiplexer and state transition gadgets	https://github.com/zksecurity/zkbugs	One-hot selector booleanity bugs	Vulnerable variant models a selector interpolation between old and new roots without constraining selector booleanity.
medium_selector_onehot_transfer	fixed	corpus/realistic_artifacts/medium_selector_onehot_transfer_fixed	public	returns	verified	medium	Selector one-hot transfer	Circom/Halo2	Merkle multiplexer and state transition gadgets	https://github.com/zksecurity/zkbugs	One-hot selector booleanity bugs	Fixed variant constrains selector booleanity and binds the selected root to the public anchor.
medium_division_remainder_bound	vulnerable	corpus/realistic_artifacts/medium_division_remainder_bound_vulnerable	public	returns	unsafe	medium	Division remainder bound	Halo2/Risc0	zkEVM arithmetic and VM division gadgets	https://github.com/zksecurity/zkbugs	Division/mod remainder bugs	Vulnerable variant models dividend = divisor * quotient + remainder without the missing remainder bound.
medium_division_remainder_bound	fixed	corpus/realistic_artifacts/medium_division_remainder_bound_fixed	public	returns	verified	medium	Division remainder bound	Halo2/Risc0	zkEVM arithmetic and VM division gadgets	https://github.com/zksecurity/zkbugs	Division/mod remainder bugs	Fixed variant binds the returned remainder to the public reduced anchor.
medium_guarded_hash_bypass	vulnerable	corpus/realistic_artifacts/medium_guarded_hash_bypass_vulnerable	public	returns	unsafe	medium	Guarded hash bypass	MACI/Aztec	Guarded message/hash circuits	https://github.com/0xPARC/zk-bug-tracker	Guarded equality bypass bugs	Vulnerable variant models a private enabled flag that can disable equality between claimed hash and computed hash.
medium_guarded_hash_bypass	fixed	corpus/realistic_artifacts/medium_guarded_hash_bypass_fixed	public	returns	verified	medium	Guarded hash bypass	MACI/Aztec	Guarded message/hash circuits	https://github.com/0xPARC/zk-bug-tracker	Guarded equality bypass bugs	Fixed variant constrains enabled to one and binds claimed hash to the public anchor.
medium_range_high_limb_alias	vulnerable	corpus/realistic_artifacts/medium_range_high_limb_alias_vulnerable	public	returns	unsafe	medium	Range high-limb alias	Cairo/Gnark	Range and bit decomposition gadgets	https://github.com/zksecurity/zkbugs	Non-unique bits/range bugs	Vulnerable variant packs low/high limbs into a public anchor without constraining the high limb range.
medium_range_high_limb_alias	fixed	corpus/realistic_artifacts/medium_range_high_limb_alias_fixed	public	returns	verified	medium	Range high-limb alias	Cairo/Gnark	Range and bit decomposition gadgets	https://github.com/zksecurity/zkbugs	Non-unique bits/range bugs	Fixed variant binds the returned high limb to the public anchor after the packing equation.
large_lookup_index_membership	vulnerable	corpus/realistic_artifacts/large_lookup_index_membership_vulnerable	public	returns	unsafe	large	Lookup index membership	PIL/Halo2	Lookup table membership circuits	https://github.com/zksecurity/zkbugs	Lookup/index range bugs	Vulnerable variant models a long lookup accumulator with an unconstrained lookup index selecting an arbitrary affine table value.
large_lookup_index_membership	fixed	corpus/realistic_artifacts/large_lookup_index_membership_fixed	public	returns	verified	large	Lookup index membership	PIL/Halo2	Lookup table membership circuits	https://github.com/zksecurity/zkbugs	Lookup/index range bugs	Fixed variant constrains the lookup index and binds the lookup value to the public accumulator.
large_fee_conservation_alias	vulnerable	corpus/realistic_artifacts/large_fee_conservation_alias_vulnerable	public	returns	unsafe	large	Fee conservation alias	Arkworks/Circom	Rollup balance and fee conservation circuits	https://github.com/zksecurity/zkbugs	Balance conservation alias bugs	Vulnerable variant uses a long batch accumulator plus a fee conservation equation where private_fee can absorb arbitrary minted output.
large_fee_conservation_alias	fixed	corpus/realistic_artifacts/large_fee_conservation_alias_fixed	public	returns	verified	large	Fee conservation alias	Arkworks/Circom	Rollup balance and fee conservation circuits	https://github.com/zksecurity/zkbugs	Balance conservation alias bugs	Fixed variant binds claimed_minted to the public batch anchor after the conservation equation.
stress_rollup_mega_batch	vulnerable	corpus/realistic_artifacts/stress_rollup_mega_batch_vulnerable	public	returns	unsafe	stress	Artificial rollup mega batch	Noir stress fixture	noir-picus-adapter corpus	local	Artificial guard bypass stress bug	Artificial vulnerable variant uses four 512-step chains, then intentionally leaves an exit-root equality behind a private guard to test large-circuit slicing.
stress_rollup_mega_batch	fixed	corpus/realistic_artifacts/stress_rollup_mega_batch_fixed	public	returns	verified	stress	Artificial rollup mega batch	Noir stress fixture	noir-picus-adapter corpus	local	Artificial guard bypass stress bug	Fixed variant constrains the guard and binds the returned exit root to the public mega-batch anchor.
stress_vm_mega_trace	vulnerable	corpus/realistic_artifacts/stress_vm_mega_trace_vulnerable	public	returns	unsafe	stress	Artificial VM mega trace	Noir stress fixture	noir-picus-adapter corpus	local	Artificial VM delta stress bug	Artificial vulnerable variant uses four 512-step trace chains, then intentionally leaves a final-register delta unconstrained.
stress_vm_mega_trace	fixed	corpus/realistic_artifacts/stress_vm_mega_trace_fixed	public	returns	verified	stress	Artificial VM mega trace	Noir stress fixture	noir-picus-adapter corpus	local	Artificial VM delta stress bug	Fixed variant constrains the delta to zero and binds the returned final register to the public mega-trace anchor.
